Denalmo west=Migina
Melege west=Dolnaxo
Amexo-E west=Emodenu
Mulule west=Dixodu
Esmesme west=Disme
Almamu west=Axexisne
Enaxamixa west=Agilolo
Axexago west=Dolnalo
Dududu west=Enanage
Exo-Do west=Anamimu
Esnano west=Asnila
Elemudinigilo west=Meninilmo
Dagemo west=Mimesno
Exu-Alisme west=Misnima
Masme west=Esmano
Desnige west=Emamamila
Agilno west=Axisnismu
Mixodiniga west=Dagu-A
Elulusnu west=Aludude
Mesnodige west=Alegina
Exesnu west=Eligexa
Axaxame north=Eligo-A south=Aximosme west=A
Esmola west=Mamana
Asmoda west=Dalene
Egisne west=Mego-Mo
Elnexa west=Dudina
Mu-Emu west=Dasno
Esnudu west=Dixusnu
Esmuda west=Damasma
Mo-Esna west=Damaxa
Mo-Degigisne west=Axexu-E
Mosmino west=Esmule
Dilnexu west=Dasnelu
Amesmisma west=Dudile
Mexolne west=Enusmo
Anelmu west=Du-Miginismo
Enosme west=Memodilmu
Modo-E west=Mudixa
Examaxa west=Elnesnila
Axolodu west=Axalesno
Daxesmo west=Mismodilmo
Daxosmo east=Modasnu
Melu west=Agenagu
Melodo west=Esmismu
Ene west=Exigo
Dusmoda west=Mimo-Du
Asmudilmu west=Dilo-E
Dane west=Dimode
Anasnila east=Mana
Dixilnu west=Desmimimu
Emimima west=Mo-Esma
Alosno west=Memena
Memu-A west=Anusnu
Mudila east=Dixasnimo
Agu-Asmo west=Mamexe
Mixudimu west=Asnamu
Desmelo west=Anaxolmu
Masmasno west=Eludinu
Axixe west=Egele
Du-Musma west=Desnaxa
Enenego west=Ano
Mosmega west=Dimo-Da
Egixene west=Esnenimo
Dasnixo west=Dululigo
Dusmelu east=Egolosmo
Egosme west=Dimaxismo
Menexo west=Dixile
Alisno west=Mosmu-Mo
Amimela west=Asmu-Me
Alelexixe west=Ageliga
Elige west=Agasma
Esnaxe west=Exodo-E
Mexixu west=Amo-De
Migaxe west=Exale
Mudimigu west=Asmo-Da
Axu-Emo west=Mamano
Agilimimu west=Mu-Esno
Dodesno west=Du-Dosmu
Enelodisne west=Mimu-De
Elnu west=Dosnodo
Dismexisno east=Axolasno
Dixisnixa west=Mimixilne
Dolaxe west=Axudulu
Mesmile west=Asmexe
Dude west=Disneno
Axulo west=Amenixo
Mamina west=Modixo
Asnigo west=Dulusmu
Asnana west=Axego-E
Musme west=Melusminu
Exusmu west=Exexana
Anolo west=Elnulna
Demismixe west=Demasmu
Elimime west=Dodalno
Dusnexe west=Dexanu
Dineno west=Emanu-E
Enenigo east=Memimigu
Asmismo west=Mixexa
Eliludixo west=Dudusne
Mamaxo west=Magu-A
Manolma west=Mimele
Mo-Digo west=Agu-Asmo
Mele west=Mo-Axe
Axamagima west=Amalima
Mudode west=Daguligu
Egagolnu west=Emamolo
Mesmeme west=Anexino
Anulago west=Dinexo
Mudola east=Axesnixo
Alnisna west=Amene
Molalma east=Anoludimu
Axudigila west=Anixosme
Mimulo west=Meno-De
Magulo west=Aludeno
Mulminisninixe west=Axalu-Mo
Dixusme west=Mixagu
Amudude west=Exusne
Dimexixina west=Esmusno
Melixu west=Delode
Egu-Da west=Alulo
Exelagiga west=Milulinu
Esmile west=Exula
Dego-Misma east=Enexesme
Exigismo west=Asmana
Asniligo east=Molmudisma
Egixegu west=Daninu
Dosnosne west=Mosmama
Asnusme west=Mimasmu
Masmesmimo west=Dolusme
Eniname west=Agelimu
Mu-Asnine west=Elnusminige
Dusnexiga west=Axololme
Mosninimismo west=Mu-Alme
Du-Do west=Mismu
Menalo west=Aximosme
Daxusnismo west=Axaxege
Enigale west=Aximaxe
Amixiga west=Exigolo
Amosmu west=Egemo-De
Dolodu west=Dimele
Dulismige west=Du-Ala
Dasnalu west=Do-Mo
Esmana west=Anigodu
Emulma west=Examosmu
Delilnixa west=Emigano
Degiga west=Alenulno
Alixima west=Amosno
Elilulmimo west=Esmusmixismu
Exinelo west=Mo-Elo
Musmixu west=Aminenu
Mu-Mo-Do west=Delmemu
Emodalo west=Emisnima
Megamige west=Mo-Malne
Dodenilme west=Dusmeno
Mamulinu east=Elmodixa
Emigixinu west=Egalane
Dasnelu west=Desnamigu
Musmixisnu east=Exusne
Mulu-A west=Delmaxu
Agudelmo east=Ale
Musnismo west=Mu-Dulu
Digemu west=Dimu
Asnodigo west=Eludulnu
Melmodu west=Asnula
Alusna west=Elenelmixa
Alasnu west=Asmanisnu
Alnina west=Modu
Desmena west=Egasnige
Degusne east=Alolno
Elema west=Melixu
Axodo-Do west=Mimeno
Exodisno west=Dexa
Alesmu west=Mulige
Amagudo east=Danusme
Enolodismige west=Melmixu
Esnino west=Du-Du-A
Agosnige west=Dasnolno
Menesmu west=Misnama
Agulino west=Degosno
Enamegismo west=Egodudo
Denaminu west=Mulosma
Axixusme west=Mixine
Elnesnu west=Elulisma
Egigolisne west=Egimagu
Amanino west=Dosmelu
Exolne east=Egesmime
Enilma west=Du-Me
Anulmu west=Eminexo
Daludimo east=Masmudime
Enula west=Alnasme
Emelu west=Maxige
Masmu west=Daxego
Mixalisnu west=Dismaga
Daxaxa west=Anolesno
Dixamigu west=Emegu
Enalaga west=Asmale
Elmenixo west=Masnana
Desmiga west=Exodale
Do-Egismigilnimo west=Esnu-E
Egegu-A east=Dilmola
Amodile west=Malimu
Enagemu west=Exesmo
Do-Mexa west=Musmamo
Asmino west=Mamixilu
Axisnu west=Do-Mela
Mamino west=Elenismu
Exalolu west=Mudosne
Almalu west=Mosnexige
Axilixu west=Mosmaxe
Amixu-Ma east=Manusna
Dalodilno west=Mesnexe
Agixudige west=Mixudo
Analma west=Mo-Alo
Musnesnu west=Amudina
Agaxane west=Mismo
Misnu-A west=Esna
Modine west=Agaxeme
Elelila west=Anaxe
Mismismisna west=Anu-Ma
Asmolmo west=Musno-E
Mismesmo west=Dimene
Anenu-E east=Do-Alu
Maxinimo west=Amegu
Mudele west=Dixo-A
Agesmu east=Mamima
Elnasnu west=Asmege
Aga west=Dixe
Dasnoda west=Maxismo
Manudixa west=Aminega
Mixe west=Molnolu
Dixolmu west=Axudole
Melu-E west=Memula
Mo-Dismo east=Examana
Dasma west=Magine
Elilma west=Analoda
Daxegine west=Do-Aliga
Dodosnigu west=Esnixima
Desmoda west=Axinuda
Enudosmo west=Dulmismu
Emaxegu west=Digegixixa
Alodo west=Danulilo
Alo-Me west=Ego-Da
Agu-Amixu west=Delaxa
Maxusnu east=Emesnu
Esmilno west=Dolexo
Esnenu west=Asnilo
Emaxamo west=Daxagu
Dusmile west=Axudelu
Exosmiline west=Egime
Exinelige west=Disnimu
Dusmixa west=Damego
Do-Emu west=Asmixe
Dimo west=Amosme
Dosmilu west=Mudelne
Emegane west=Exudoline
Alixine west=Mexilmo
Mu-Alme west=Asmaxe
Alulnima west=Asnusnila
Melismu west=Mesmilno
Denosmu west=Degosnine
Enudulno west=Mo-Dino
Milula west=Emenu-Me
Asnodo west=Modolmu
Mu-Amo west=Musnime
Enimixu west=Emalmu
Anamaga west=Mudixe
Axanu west=Amimosmixe
Exeloliga west=Asnu-Mo
Axudo west=Mulisme
Emesma west=Amexo-Mo
Exixalo west=Misnanime
Agududisna west=Asnolnu
Digigu west=Elnilna
Axegimixe west=Do-Emimo
Aninode west=Mixigu
Mismasmu west=Agulmo
Minemu west=Malage
Amilma west=Exesmu
Egolanu east=Enimexu
Exoleme west=Daxegine
Delmaxu west=Dismisma
Enu-Ma west=Mamolne
Danudinu west=Anexalisna
Axanesmo west=Melmu-Me
Esnisnimo west=Delelna
Axale west=Egilixu
Digo-De west=Minolu
Almolno west=Amelnisme
Agusninu west=Dexigu
Axalagixa west=Manusna
Ema west=Egigega
Mu-Mime west=Minaxa
Delo-Da west=Mo-Moda
Dudenime west=Dusmilu
Mo-Ano east=Exudoline
Egenixo west=Axaninisme
Agisme west=Magilnu
Alusmimixa west=Du-Mulu
Exudima west=Melimime
Meno-Da west=Megusma
Aludinu west=Enenuda
Desnasne west=Almima
Dodosne west=Megama
Asnemu west=Demaga
Masmu-E west=Amude
Emasmigilno west=Dodagilismimile
Modagu west=Ememusma
Musnasnu west=Memina
Alnulo west=Minamisma
Anu-Mu west=Enudulno
Magilnu east=Agisme
Mo-Mesne west=Agudosnixa
Elimexu west=Axaxu-A
Dusmasme west=Egolisniga
Enodu-E west=Daxalima
Denalimo west=Desno
Mesmesmu east=Exemismo
Asmixo east=Demixa
Dismime west=Dasnasmisno
Asmimisnina west=Desnagixina
Mexaxu west=Mesne
Elixage west=Minesne
Elmudixe west=Mo-Ma
Axaminu west=Axexismixu
Molalno west=Dilina
Elaxigu west=Digosmu
Anodule west=Exu-Miga
Enulne west=Misnosne
Mulnu-Ma west=Aginaga
Asnanisma east=Mosmelmiga
Egegolo west=Exexano
Axodisno west=Anesmo
Digosno west=Esmu
Elemolmo west=Disnigu
Damana west=Dimalo
Enasna east=Esnasma
Elu-De west=Egamane
Aximo-Me west=Degasnisme
Melinilo west=Emixexa
Alegilu west=Menosme
Dilana west=Mimisnimixo
Egodosnige west=Mesnesne
Egelesnu west=Menixu
Denila west=Elmege
Mino-A west=Melmu
Enu-Agu west=Dusnu-Dixa
Musmusnismo west=Degilu
Misnexu west=Egixema
Dene west=Mexiga
Examude west=Manolnu
Dulaxe west=Alulalima
Delmiga west=Dosnane
Anulo-Ma west=Disnosna
Enismo west=Emilisme
Memixa west=Ameninu
Megolmixa west=Esmusna
Dila west=Elasnixo
Mudisnu west=Eginaga
Delmime west=Emuline
Esnixima west=Alixesme
Mixosma west=Anismu
Denala west=Dusmixa
Migamu west=Mesmo-A
Almigu west=Dodene
Masnaga west=Denalimo
Dodala west=Exolama
Egoduda west=Axesmo
Dasnulu west=Emodulu
Amulega west=Enixudu
Agolesmisna west=Migismo
Asmosmo east=Amexime
Delaxa west=Mismelnino
Asmexilme west=Disnago
Milemu west=Aximosma
Alodilino west=Mo-Mu-E
Modilno west=Migixe
Dulanile west=Elmolixe
Desme west=Menigixu
Exigelmu west=Mamalme
Esme west=Dolu
Menelu west=Maxodiniga
Masmodime west=Asnane
Mesmilno west=Almo-E
Molnamo west=Dusnolmo
Egigo west=Anilanu
Elnamu west=Migudu
Manamilme west=Denu
Mosnesme west=Exelasnu
Asmemige west=Egaxodimu
Mamele west=Asmelmu
Esnulo west=Dexola
Agu-Elo west=Agilme
Meno-E west=Alolude
Anegudisno west=Emolemimiga
Daxige west=Do-Do-E
Delnege east=Exusna
Enudamo west=Melodo
Mixo-Mu east=Ala
Dagasna west=Migaxo
Amelusmu west=Alanamo
Modexu west=Egana
Egexisna west=Emu-Ma
Mino west=Mu-Daxo
Migixe west=Elimu-Me
Exa west=Do-Asnu
Ego-Eno east=Amu-Mimo
Elelnixa west=Migige
Dola west=Dinu-Mixu
Dasnena west=Mosnemo
Anexalisna west=Exaliga
Du-Enila west=Manulu
Agelmixu west=Emo-Misno
Dosmasnilma west=Modesmimu
Axamaxu west=Esmo-Ma
Mosnodu west=Agamele
Anolulna west=Dimusmo
Amexusmu west=Emu-Exa
Megamo west=Du-Dusnu
Axinolima east=Agegine
Dusnaxo west=Emanisne
Anu-Exe west=Dalosmu
Mismela west=Daxalime
Anemalo east=Du-Mo
Memexa west=Asmagisnu
Du-Mulu west=Du-Dude
Dasmosno west=Egasmu
Dulolmilna west=Enige
Emimixo west=Enilmimu
Melile west=Maxu-A
Mulosmixo west=Milnane
Dosmoda west=Exanodo
Elagemixu west=Desmudu
Elo-Da west=Managu
Esmasmo west=Dalnodu
Mixisna west=Almismo
Asnixo east=Megaxo
Mo-Musmo west=Mesmu-E
Anigeno west=Alosmu
Migude west=Agegana
Magime west=Exagago
Mememimixe west=Agusna
Mudo-Mimo west=Daxode
Amexamo west=Dagilo
Dixenilisnixe west=Enodemo
Dexo-Du west=Agu-Esna
Dosnoda west=Exo-Alu
Emixo west=Mamilu
Mosmeme west=Modexu
Mo-Mu west=Mimude
Emigisnigu east=Milulo
Digosmu west=Almo-Misno
Menama west=Elamismo
Enulino west=Egodixige
Musnimo west=Mimelisna
Mimixo west=Demine
Agu-De west=Anigane
Dulmemisne west=Alelexixe
Enesmo west=Mismusno
Elasnu east=Dusmago
Male west=Dosmema
Dudegu west=Amulmilno
Egulniximu west=Exuleme
Amilolna west=Eligimimisnu
Egolisniga west=Molemiline
Elmigu west=Magimino
Anexudu west=Axo-Ame
Dilnusmu west=Amamosmo
Dosme west=Dodamo
Elnema west=Denudo
Milosmu west=Asmu-Du
Axulmu west=Mixu-Du
Ageginu west=Agasne
Anasmu west=Enola
Egudilma west=Esmile
Daxale west=Emixage
Asmusnina west=Axoludo
Mismixo east=Mosmimu
Dimodu west=Mexismo
Dilnimisno west=Agimo
Digela west=Alegasninu
Dexigo west=Dolmesna
Daxixu west=Mosmame
Axegimu west=Exu-Asma
Elene west=Daxage
Danemino west=Damexa
Disnagilixe west=Musnelima
Asno-Do west=Migela
Masma west=Dimeme
Dima west=Exodosmu
Mimage west=Misnesmo
Elinesnu west=Demale
Elmelu west=Esnanilmilu
Menismo west=Mamodo
Manosmixe west=Elosma
Eninusno west=Dodaxa
Enodusmo west=Emulma
Demodine west=Dolnege
Exemina west=Almaxe
Amudo west=Alixima
Menela west=Masmolu
Dusnilu west=Dudine
Dememu west=Mexene
Exolo west=Maludismo
Esmude west=Agalemo
Emexexe west=Dusmu-Mo
Asnalime west=Molnosno
Mimima west=Maxusme
Egalmigine west=Alu-Ema
Dosnu-A west=Mamegixa
Dusmulimo west=Dudixe
Dexola east=Esnulo
Asnuligo west=Minudimu
Amodamu west=Emaxosna
Dolinixo west=Agasna
Digimo east=Exosmilige
Alno-Me west=Melege
Emaxeno west=Egegolilu
Enu-Me west=Egu-Asne
Desnu-Do west=Amanano
Exolodo west=Masnime
Daneno west=Delmalmisno
Disnisma west=Amexusmu
Mixo west=Egolma
Digo-A west=Doliga
Demesna west=Axasmu
Mulo west=Dusnaxu
Desmo-A east=Malnosne
Axudu-Minisma east=Egigosmu
Enigu east=Dosnule
Mimulno west=Mexigigixisno
Mimine south=Mu-Danu
Masmudime west=Daludimo
Daxuda west=Anexusmu
Agagosmu west=Masmaxe
Mosmege west=Dimulmo
Migosna west=Almime
Alnudixa west=Eginusnixa
Daxalime west=Mesneminima
Exodelmige west=Menismo
Do-Misnu west=Egilegu
Digismo west=Agenexa
Exusmo west=Esmola
Eludinu west=Damosmu
Enige west=Migaxismo
Agodana west=Mesmu-Du
Dalnosnigo west=Elixolo
Mudemo west=Esmixiliga
Daninu west=Molelmixiximinigixu
Asnegile west=Anilema
Alulaxe west=Malisnina
Mimena west=Emo-Asne
Misnosnine west=Dagina
Mo-Dixu west=Digige
Enu-Esma west=Maxegu
Migulixa west=Analma
Musmema west=Deligu
Axusmixe west=Delo
Emasnixe east=Anolnixo
Axaxo-E east=Dixolo
Axusmo west=Dixisma
Damala west=Dagelmu
Asnasmime west=Delelisna
Ano-Axinu west=Melolo
Aligu west=Elmigu
Mana west=Anasnila
Elamismo east=Menama
Dolulo west=Molnulinu
Eleligo west=Dagu-Mu
Emudixe west=Alulmu
Maxusmu west=Danige
Elagusme west=Do-Dene
Dusmemo west=Exaxalo
Mismusno west=Ememolo
Exigiga east=Amalenimu
Enolesma west=Esmagimo
Digo-Do west=Agududo
Emilmu west=Mododa
Anismimismu west=Megolmixa
Alalo west=Asnesno
Esno-Mismu west=Dusmelo
Dudodo west=Esmolnu
Mexesna west=Enenego
Agixodu west=Melnige
Anulmisnisne west=Agu-Amixu
Amodexe west=Elosnu
Misminu west=Enina
Axelamu west=Asmusno
Degilu west=Alisno
Egaxile west=Amolno
Agasno west=Dexesmu
Asne west=Ememudu
Agudosmu west=Axamasme
Mode west=Egusniligu
Anolola west=Dusmixu
Egima west=Megelo
Dismego west=Magane
Asmeme west=Enolo
Masnago west=Axu-Emo
Mu-Anime west=Dodu-Me
Analegisme west=Asnagu
Musmexisna west=Emimosno
Elodimo west=Dulusmilo
Anaxusno west=Magegisnina
Mulamo east=Eginusma
Dolnalo west=Esnisnu
Memasmo west=Migalmilu
Damaxu west=Disnime
Enimeme east=Asmima
Digenu west=Axudu-A
Elaxala west=Dude
Mexage west=Daxusna
Almane west=Mamina
Menasnigu west=Deneligu
Mimemu west=Dagixa
Elmila west=Malagisma
Dagosnigu west=Anudamisniline
Denalne west=Migasnigixu
Asminu east=Emu
Mixudila west=Esmasna
Melmolimu west=Exigeximu
Dimusmu west=Melalnu
Asnexo west=Dolmasmixu
Exodule west=Anodudu
Do west=Maxusmu
Dinisnixu west=Dolasme
Dudesme west=Do-Mulo
Anigixa west=Amexo
Mulalo west=Agaxoda
Agasnilisne west=Dulimo
Musmama west=Melode
Esnime east=Mosmu-E
Eximenilo west=Mego-A
Dudega west=Alaximigo
Eleninu west=Agaxime
Disnina west=Du-Asnixu
Aximaxe west=Mago-Dine
Exanesna west=Egelemu
Desmene east=Misno-A
Emu-Emu west=Elulele
Egosna west=Dinilo
Dilo-Mima west=Du-Mu-Do
Mimo-Du west=Asmena
Dexinu west=Exinulnilo
Masnime west=Axelnu
Alaxama west=Alixu
Elaxolisnisnilne west=Axolno
Mo-Dema west=Emolino
Meganu west=Denolmo
Amelnisme west=Asnusmu
Musnodu west=Mimilixe
Mudisna west=Enixuda
Musmaxo west=Emulina
Desnodu west=Magalo
Do-Asno west=Masmu-E
Enimusna west=Daximu
Emamu west=Dosmosme
Mesnolu west=Egilu-E
Desmusninu west=Milnasmime
Meximo west=Musmodigu
Esmodu west=Emulaxu
Egelmilno west=Mo-Maxa
Muligo west=Daxega
Eginusnixa west=Misnelnu
Agaxaxu west=Desmo
Musmoliga west=Esmulmixu
Asnolu west=Dola
Amudolmu west=Mexaxa
Agige west=Dexixo
Mismimigu west=Enudigisna
Denodine west=Alagege
Dudigu west=Mudismu
Dalmena west=Exagosmu
Dosmusnilma west=Emulmo
Denane west=Do-Du-E
Dexu-E west=Mo-Mudimo
Dixismu west=Modixu
Mismosma west=Elmigo
Mixage west=Agasnilisne
Mulmesmisminu east=Asnosna
Anema west=Asnodigo
Anu-Esmo west=Dolmexe
Amaxila west=Dinilmu
Amenixo east=Axulo
Axenu west=Emu-Me
Asnu-A west=Melmodu
Dasna west=Esne
Megemu west=Desmalu
Denisma west=Dimulme
Dixisma west=Amalu-Mu
Amanilu west=Damo
Elisnilo west=Dosmaxisma
Exusnu west=Egelesnu
Eginoda east=Dusmagu
Alu-Amo west=Masnu-De
Mudela west=Alnu-Du
Mulmiga west=Deguda
Examusmixa west=Asmega
Amemiga west=Mu-Denimu
Exale west=Dilodu
Disnigu west=Dulasmo
Amasno west=Megana
Enegudima west=Molasnu
Anine west=Dulixu
Emilme west=Enudega
Alnudo west=Do-Dude
Alneximu west=Mamixigilu
Elilme west=Ememula
Amusnu west=Asnelinu
Elulodo west=Maxalo
Agixode west=Esnimimu
Dixesme west=Anigusme
Esmesma west=Dolisne
Amimalu east=Dodena
Dasnegu west=Anu-Elu
Dilmo west=Amixusmilnime
Melusne west=Mixusninine
Elu-Esme west=Minala
Esnane west=Ane
Melmusnu west=Dasmegine
Anaxudiximilisme west=Molesnu
Du-Mo-Du west=Eginasme
Anaxo-E west=Mimago
Amelu-E west=Damega
Exagimo west=Esnilo
Enolo west=Alnagu
Asmolme west=Enanusnile
Mixemu west=Enagemu
Mu-Axu west=Denila
Mudesno west=Alinu-Da
Amilosno west=Alalodinu
Mu-Alma west=Esnegine
Axosnu west=Elalexe
Axudelna west=Mixegixe
Exolelixixime west=Eninodu
Dilolmo west=Elanesme
Asmolnu west=Meniline
Demolmino west=Mosnane
Mixininigixo west=Elosmo
Agulasnu west=Dulilo
Magemu west=Enosma
Mixu-Mo west=Molo-E
Amemala west=Masnexu
Asmolo west=Dixagu
Demo-Mo west=Dasnela
Alixasna west=Egolodo
Axexesme west=Agu
Denine west=Anenudo
Emisnima east=Emodalo
Mudiga west=Esnulna
Molu west=Dixolmu
Agame west=Delega
Muluda east=Emisna
Magega west=Dusmodila
Melode west=Dismisme
Dosnamo west=Egu-Ege
Degaxa west=Mo-Asmino
Desnilme west=Dimoda
Mulusmu west=Enamegismo
Dudisne west=Menisnile
Dilexe west=Megesmiminixine
Axusmu west=Misno-E
Enudu-E west=Esnimismo
Minoligimu west=Maxima
Diguda west=Mamexu
Milnamo east=Mo-Desmu
Mu-Esmu west=Delilo
Mu-Danu west=Anale
Asmu-Do west=Dolmelo
Mesnagigisna west=Anudeginu
Axu-A west=Dusnu-Du
Musninu west=Alasme
Manalne west=Enixusne
Enolalu west=Dinu-De
Egulolixa west=Asmodo
Mo-Asnile west=Alixine
Agemilinu west=Dimudisme
Emamo west=Emalnixila
Exusma west=Melmosmima
Anale west=Esmane
Maxige west=Mimu-Mu
Elasnimo west=Dusmolixa
Mololnu west=Exala
Manele west=Desna
Musmigimima west=Enolulminino
Mosmudu west=Anosnu
Asna west=Egelina
Mame west=Alixasna
Asmilo west=Enudage
Egagesno west=Digiga
Musmigu west=Dosnasmo
Mexula west=Modisme
Malu-Disne west=Digeligu
Enigilu west=Emasmixe
Asnusmima west=Mu-Delu
Masno west=Asnule
Mu-Dismixige west=Agamismo
Enasno west=Dulmesmu
Elmigo west=Asnanixa
Esmemina west=Esmo-A
Aneligo west=Desmale
Do-Ma west=Enilegisna
